zipcode,inspection_count,wellness_score
00000,6358,74.93396412379263
10001,3738,85.26315789473684
10002,5438,78.56100926473488
10003,5339,78.95131086142322
10004,1652,93.48708850778632
10005,2740,89.19771338458506
10006,1309,94.83934555489849
10007,2625,89.65109402720284
10009,2641,89.58801498127342
10010,4193,83.46934752611867
10011,9040,64.36033904987187
10012,3314,86.93475261186674
10013,8735,65.56278336290164
10014,5261,79.25882121032919
10016,11338,55.30061107825743
10017,4822,80.98955253301794
10018,1540,93.92864182929233
10019,11885,53.144096195545046
10020,74,99.70825941257638
10021,4745,81.29312044155333
10022,7664,69.78513699980287
10023,11139,56.08515671200473
10024,5988,76.3926670609107
10025,8401,66.8795584466785
10026,4343,82.87798147053026
10027,4374,82.75576581904198
10028,4064,83.9779223339247
10029,3268,87.11610486891385
10030,2058,91.88645771732703
10031,2458,90.30948156909126
10032,1697,93.3096786911098
10033,1227,95.16262566528681
10034,674,97.34279519022276
10035,2343,90.76286221170905
10036,5114,79.83835994480583
10037,796,96.86181746501084
10038,2884,88.63000197122018
10039,962,96.20737236349301
10040,577,97.72521190616992
10041,54,99.78710821998817
10044,617,97.56751429134634
10045,2,99.99211511925881
10065,5754,77.31519810762862
10069,2720,89.27656219199685
10075,3662,85.56278336290164
10103,8,99.96846047703528
10105,3,99.98817267888823
10106,2,99.99211511925881
10107,1,99.99605755962942
10110,1,99.99605755962942
10111,1,99.99605755962942
10112,109,99.57027399960575
10118,1,99.99605755962942
10119,3,99.98817267888823
10120,1,99.99605755962942
10121,15,99.94086339444117
10122,2,99.99211511925881
10123,17,99.93297851369998
10128,7367,70.95604178986792
10151,1,99.99605755962942
10152,2,99.99211511925881
10153,1,99.99605755962942
10154,1,99.99605755962942
10155,2,99.99211511925881
10158,1,99.99605755962942
10162,1,99.99605755962942
10165,1,99.99605755962942
10166,1,99.99605755962942
10167,2,99.99211511925881
10168,1,99.99605755962942
10169,2,99.99211511925881
10170,10,99.9605755962941
10171,2,99.99211511925881
10172,21,99.91720875221762
10173,1,99.99605755962942
10175,1,99.99605755962942
10177,2,99.99211511925881
10178,1,99.99605755962942
10179,1,99.99605755962942
10199,2,99.99211511925881
10271,7,99.97240291740587
10279,2,99.99211511925881
10280,2839,88.80741178789671
10281,7,99.97240291740587
10282,245,99.0341021092056
10301,8229,67.55765819041987
10302,4506,82.23536369012419
10303,6040,76.18766016164005
10304,9713,61.7070766804652
10305,11178,55.931401537551736
10306,17058,32.74985215848611
10307,4201,83.43780800315395
10308,8716,65.63768972994284
10309,10351,59.19179972402917
10310,6166,75.69091267494579
10311,7,99.97240291740587
10312,18929,25.37354622511334
10314,25365,0.0
10451,1868,92.635521387739
10452,1604,93.67632564557461
10453,2125,91.62231421249754
10454,1808,92.87206780997437
10455,2054,91.90222747880938
10456,3464,86.34338655627833
10457,3233,87.25409028188449
10458,2929,88.45259215454367
10459,3135,87.64044943820225
10460,2995,88.19239109008477
10461,7625,69.93889217425587
10462,16988,33.02582298442736
10463,3330,86.87167356593731
10464,1681,93.37275773703922
10465,8641,65.93337275773705
10466,9265,63.473289966489254
10467,5057,80.06307904592943
10468,1719,93.22294500295682
10469,11379,55.13897102306328
10470,2334,90.79834417504435
10471,2416,90.47506406465602
10472,4350,82.85038438793613
10473,5934,76.60555884092253
10474,1173,95.37551744529864
10475,767,96.97614823575793
10803,1,99.99605755962942
11001,1223,95.17839542676917
11004,2512,90.09658978907945
11005,1,99.99605755962942
11021,1,99.99605755962942
11040,587,97.68578750246402
11101,10323,59.30218805440568
11102,5061,80.04730928444708
11103,4820,80.99743741375912
11104,2410,90.49871870687956
11105,6039,76.19160260201065
11106,4942,80.51645968854722
11109,204,99.19574216439976
11201,12223,51.81155135028583
